name,name,borough,rating,review_count,categories_list,GRADE
BUA THAI RAMEN & ROBATA GRILL,Bua Thai Ramen & Robata Grill,Manhattan,4.5,3237,Thai; Ramen; Vegetarian,C
BUDDA KITCHEN & BAR,Budda Kitchen & Bar,Manhattan,4.8,4,Latin American; Asian Fusion; Cocktail Bars,
BUDDAKAN,Buddakan,Manhattan,4.1,4808,Chinese; Bars; Asian Fusion,A
BUDDHA ASIAN,Buddha Asian,Queens,4.2,14,Asian Fusion; Thai; Seafood,A
BUENA VISTA RESTAURANT & BAR,Buena Vista Restaurant & Bar,Manhattan,4.6,453,Bars; Latin American; Seafood,A
BULBAP GRILL,Bulbap Grill,Brooklyn,4.7,81,Korean; Asian Fusion,A
BUNGALOW,Bungalow,Manhattan,4.0,161,Indian; Coffee & Tea; Cocktail Bars,
BUNNAN,Bunnan,Brooklyn,4.6,95,Haitian; Sandwiches; New American,C
BUNNY,Bunny,Brooklyn,4.8,57,Turkish; German,A
BURGER CITY,Burger City,Queens,4.0,96,Burgers,A
BURMESE HARP,Burmese Harp,Brooklyn,4.5,15,Japanese; Burmese; Sushi Bars,
BURP BOWL CAFE,Burp Bowl Cafe,Manhattan,4.4,309,Chinese; Noodles; Soup,
BURRITO BLVD,Burrito Blvd,Queens,4.1,102,Mexican,A
BURRITO REPUBLIC,Burrito Republic,Queens,4.3,154,Tacos; New Mexican Cuisine; Vegetarian,A
BUSHNIWA,Bushniwa,Brooklyn,4.2,309,Japanese; Sushi Bars; Asian Fusion,A
BUSHWICK TACO COMPANY,Bushwick Taco Company,Brooklyn,3.7,271,Mexican,A
BUSTAN,Bustan,Manhattan,4.0,649,Mediterranean; Middle Eastern,B
BUTTERFLIED CHICKEN,Butterflied Chicken,Manhattan,4.6,35,"Greek; Salad; Beer, Wine & Spirits",A
BX LOBSTER,BX Lobster,Bronx,4.1,10,Seafood; Breakfast & Brunch; Wraps,
BZ GRILL,BZ Grill,Queens,3.9,722,Greek; Mediterranean,A
Bar B,Bar B,Manhattan,4.6,204,Italian; Bars; Tapas Bars,A
Bonnie's,Bonnie's,Brooklyn,3.6,203,Cantonese,A
Bowery Bungalow,Bowery Bungalow,Manhattan,4.3,3,Mediterranean; Middle Eastern; Moroccan,
BuBo,Bubo,Manhattan,4.5,274,Cocktail Bars; Beer Bar; Tapas Bars,A
Buena Onda,Buena Onda,Manhattan,4.5,20,Cocktail Bars; Mexican,A
C AS IN CHARLIE,C as in Charlie,Manhattan,4.5,357,Korean; Tapas/Small Plates; Southern,A
CABANA,Cabana,Queens,3.9,1211,Latin American; Cuban; Caribbean,A
CACHAPAS Y MAS,Cachapas y Mas,Manhattan,4.1,412,Venezuelan; Sandwiches; Empanadas,A
CACIO E PEPE,Cacio e Pepe,Manhattan,4.4,102,Italian; Desserts; Cocktail Bars,
CAFE CHILI,Cafe Chili,Brooklyn,3.7,264,Thai; Cafes; Asian Fusion,A
CAFE DE NOVO,Cafe De Novo,Manhattan,2.9,114,Korean; Pizza; Breakfast & Brunch,A
CAFE HABANA,Cafe Habana,Manhattan,4.0,3359,Cuban; Mexican,A
CAFE HUGO,Cafe Hugo,Manhattan,5.0,3,New American,A
CAFE JOAH,Cafe Joah,Manhattan,4.2,48,Coffee & Tea; Cafes; Korean,A
CAFE JULIET,Cafe Juliet,Staten Island,4.4,48,Cafes,A
CAFE LILY,Cafe Lily,Brooklyn,4.3,69,Russian; Korean; Uzbek,A
CAFE LUNA,Cafe Luna,Staten Island,3.8,87,Italian; Seafood,A
CAFE MADO,Cafe Mado,Brooklyn,4.6,29,Cafes; Coffee & Tea; Italian,A
CAFE MARS,Cafe Mars,Brooklyn,4.5,43,Italian,A
CAFE MEZ,Cafe Mez,Brooklyn,4.5,2,Mexican; Cocktail Bars,A
CAFE MOGADOR,Cafe Mogador,Manhattan,4.4,1524,Moroccan; Breakfast & Brunch; Mediterranean,A
CAFE NUBE,Cafe Nube,Brooklyn,4.8,102,Tacos; Coffee & Tea; Breakfast & Brunch,A
CAFE ORNITHOLOGY,Cafe Ornithology,Brooklyn,4.9,7,Jazz & Blues; Bars; Mediterranean,A
CAFE PREMIATA,Cafe Premiata,Queens,3.9,13,Kosher; Mediterranean,A
CAFE SPAGHETTI,Cafe Spaghetti,Brooklyn,4.5,147,Italian; Bars; Sandwiches,A
CAFE TIBET,Cafe Tibet,Brooklyn,4.1,398,Himalayan/Nepalese,A
CAFE XOCHIMILCO,Cafe Xochimilco,Queens,4.7,66,Breakfast & Brunch; Cafes; Mexican,A
CAFFE BUON GUSTO,Caffe Buon Gusto,Manhattan,3.9,751,Italian,C
CAFFE RUSTICO,Caffe Rustico,Queens,4.5,69,Italian; Pizza,A
CAFÉ HESTIA,Café Hestia,Manhattan,3.7,24,Sandwiches; Salad; Korean,A
CALAVERAS CORNER,Calaveras Corner,Manhattan,4.1,33,Mexican; Bars,B
CALI AJI CON SABOR RESTAURANT,Cali Aji Con Sabor Restaurant,Queens,3.9,27,Colombian,A
CALLE DAO CHELSEA,Calle Dao Chelsea,Manhattan,4.5,1166,Cuban; Chinese; Asian Fusion,B
CAMILLO,Camillo,Brooklyn,4.2,229,Italian,A
CAMPANIA COAL FIRED PIZZA,Campania Coal Fired Pizza,Brooklyn,4.2,753,Pizza; Italian,A
CAMPOS GRILL,Campos Grill,Brooklyn,4.2,10,Mexican,A
CANLON'S RESTAURANT,Canlon's Restaurant,Staten Island,3.9,102,American; Seafood; Cocktail Bars,A
CANTINA CUBANA,Cantina Cubana,Manhattan,4.7,28,Cuban,A
CANTINA MEXICANA,Cantina Mexicana,Staten Island,4.2,169,Mexican,A
CANTINA TAQUERIA & TEQUILA BAR,Cantina Taqueria & Tequila Bar,Manhattan,3.5,346,Cocktail Bars; Mexican; Latin American,B
CANTINA VALENCIA,Cantina Valencia,Staten Island,4.0,1,Mexican; Seafood; Soup,
CANTON MANOR,Canton Manor,Queens,3.4,134,Chinese; Seafood,B
CAP'T LOUI,Cap't Loui,Manhattan,3.8,101,Cajun/Creole; Seafood; Bars,A
CARAVAN,Caravan,Brooklyn,4.0,13,Sushi Bars; Korean; Uzbek,A
CARBONE,Carbone,Manhattan,4.0,1976,Italian,B
CARDAMOM INDIAN CUISINE,Cardamom Indian cuisine,Queens,4.5,305,Indian,A
CARIBBEAN SUNSHINE RESTAURANT,Caribbean Sunshine Restaurant,Bronx,4.1,27,Caribbean,A
CARIBBEAN TASTE BUDZ,Caribbean Taste Budz,Queens,4.1,7,Seafood; Breakfast & Brunch; Caribbean,B
CARIDAD RESTAURANT,Caridad Restaurant,Manhattan,3.5,93,Spanish,A
CARIFESTA RESTAURANT,Carifesta Restaurant,Queens,3.9,21,Halal; Caribbean,A
CARLOTTO,Carlotto,Manhattan,4.5,95,Italian; Wine Bars; Cocktail Bars,
CARNATION RESTAURANT,Carnation Restaurant,Brooklyn,5.0,1,Chinese,
CARNITAS RAMIREZ,Carnitas Ramirez,Manhattan,4.0,43,Tacos,
CARRO CAFE,Carro Cafe,Brooklyn,3.3,9,Seafood; Lounges; Cocktail Bars,A
CASA ASIA,Casa Asia,Queens,3.8,280,Asian Fusion; Sushi Bars; Thai,A
CASA AZUL,Casa Azul,Brooklyn,4.3,187,Mexican; Cocktail Bars,A
CASA CARMEN,Casa Carmen,Manhattan,4.3,31,Mexican; Wine Bars; Cocktail Bars,A
CASA DANI,Casa Dani,Manhattan,3.8,104,Spanish; Mediterranean,B
CASA ENRIQUE,Casa Enrique,Queens,4.2,1601,Mexican,A
CASA LIMONE,Casa Limone,Manhattan,4.3,143,Italian; Mediterranean,A
CASA MAYA,Casa Maya,Manhattan,4.1,25,Bars; Dance Clubs; Tacos,A
CASA PUBLICA,Casa Publica,Brooklyn,4.0,184,Mexican; Cocktail Bars; Breakfast & Brunch,A
CASA VERDE,Casa Verde,Staten Island,4.2,84,Italian; Pizza; Caterers,A
CASCALOTE LATIN BISTRO,Cascalote Latin Bistro,Manhattan,4.5,419,Latin American; Mexican,A
CASCATA,Cascata,Queens,2.5,53,Italian,A
CASTILLO RESTAURANT,Castillo Restaurant,Brooklyn,3.7,47,Spanish; Seafood; Steakhouses,A
CAVA,CAVA,Manhattan,4.0,184,Mediterranean; Salad,A
CELTIC GASTHAUS,Celtic Gasthaus,Queens,4.0,5,Pubs; German; Irish,A
CEMITAS EL TIGRE,Cemitas El Tigre,Queens,4.5,295,Mexican,A
CENT'ANNI,Cent'Anni,Brooklyn,3.8,585,Italian,
CERVO'S,Cervo's,Manhattan,4.0,179,Seafood,A
CHA MENYA,Cha Menya,Queens,4.6,164,Ramen; Tea Rooms; Vegetarian,A
CHACHAWAN,Chachawan,Queens,4.3,56,Thai; Noodles; Asian Fusion,A
CHADWICK'S,Chadwick's,Brooklyn,4.2,354,American; Steakhouses; Seafood,A
CHAI THAI KITCHEN,Chai Thai Kitchen,Manhattan,3.4,717,Thai,A
CHAIRMAN SUN,Chairman Sun,Queens,3.7,257,Szechuan; Dim Sum; Seafood,C
CHAKRA,Chakra,Queens,4.0,9,Vegan; Asian Fusion; Thai,
CHALONG,Chalong,Manhattan,4.6,532,Thai,A
CHANG NOI THAI,Chang Noi Thai,Staten Island,4.3,243,Thai,A
CHAO NIU HOTPOT,Chao Niu Hotpot,Queens,4.6,19,Hot Pot,
CHAO THAI,Chao Thai,Queens,3.9,427,Thai,A
CHARCOAL EATS,Charcoal Eats,Manhattan,4.0,1,Indian,
CHARLIE'S PLACE,Charlie's Place,Manhattan,4.2,172,Sushi Bars; Japanese; Noodles,B
CHATEAU DE CAPITAINE,Chateau De Capitaine,Brooklyn,4.0,166,Seafood; Modern European; French,A
CHAVELA'S,Chavela's,Brooklyn,3.9,1357,Mexican; Bars,A
CHAWLAS 2,Chawlas 2,Queens,3.8,132,Indian,B
CHEBURECHNAYA,Cheburechnaya,Queens,3.9,310,Kosher; Russian; Uzbek,A
CHEF QUANG GUYANESE CHINESE EXPRESS,Chef Quang Guyanese Chinese Express,Brooklyn,3.3,66,Caribbean; Chinese,B
CHEF TAN,Chef Tan,Manhattan,3.7,315,Szechuan,A
CHEF WONG BISTRO,Chef Wong Bistro,Queens,4.3,53,Cantonese; Seafood,B
CHELA & GARNACHA,Chela & Garnacha,Queens,4.3,459,Mexican; Wine Bars; Breakfast & Brunch,A
CHELI,Cheli,Queens,4.2,422,Shanghainese; Desserts; Soup,A
CHEROKEE DELI,Cherokee Deli,Brooklyn,4.6,12,Mexican; Breakfast & Brunch; Sandwiches,A
CHERYL'S GLOBAL SOUL,Cheryl's Global Soul,Brooklyn,3.8,1126,Breakfast & Brunch; Comfort Food; Caribbean,A
CHI CHICKEN,Chi Chicken,Queens,4.4,40,Hot Pot; Chinese,A
CHI RESTAURANT & BAR,Chi Restaurant & Bar,Manhattan,4.5,422,Szechuan; Cocktail Bars,A
CHICK IT OUT,Chick It Out,Queens,4.7,79,Thai; Hainan; Fast Food,C
CHICKEN FEASTIN,Chicken Feastin,Brooklyn,4.4,75,Chicken Shop; Greek; American,A
CHICKEN INSIDER,Chicken Insider,Manhattan,4.7,241,Chicken Wings; Chicken Shop; Korean,A
CHICKEN IS BACK,Chicken is Back,Queens,4.7,27,Korean; Chicken Wings; Fast Food,A
CHICKEN RANCH,Chicken Ranch,Manhattan,4.3,126,Spanish; Greek; Chicken Shop,A
CHIEF BEEF NOODLES,Chief Beef Noodles,Queens,3.0,3,Chinese; Noodles,
CHIHUAHUA,Chihuahua,Queens,4.3,196,Mexican,A
CHIKA,Chika,Bronx,0.0,0,Mexican,
CHIKARASHI,Chikarashi,Manhattan,4.1,540,Japanese; Hawaiian; Poke,A
CHIKO,Chiko,Brooklyn,4.7,63,Szechuan,A
CHILANGO TACO,Chilango Taco,Brooklyn,4.5,11,Mexican,
CHILI,CHILI,Manhattan,4.6,885,Szechuan; Dim Sum; Cocktail Bars,
CHILO'S,Chilo's,Brooklyn,4.1,247,Bars; Mexican; Food Trucks,A
CHINA CHALET,China Chalet,Staten Island,3.4,56,Dim Sum; Cantonese,A
CHINA COCINA,China Cocina,Queens,4.4,28,Latin American; Spanish; Chinese,A
CHINA FUN,China Fun,Queens,3.7,3,Chinese; Hot Pot,A
CHINA KITCHEN,China Kitchen,Brooklyn,2.8,5,Mexican; Chinese; American,A
CHINA MIA,China Mia,Bronx,3.9,55,Chinese,A
CHINA PALACE,China Palace,Bronx,3.7,32,Chinese,A
CHINA RESTAURANT,China Restaurant,Brooklyn,4.0,77,Chinese,A
CHINA TASTES,China Tastes,Brooklyn,2.8,6,Chinese,A
CHINAR ON THE ISLAND,Chinar On The Island,Staten Island,3.8,77,Mediterranean; Bars; Venues & Event Spaces,A
CHINATO,Chinato,Manhattan,4.7,42,Cocktail Bars; Wine Bars; Seafood,
CHINESE FRIED CHICKEN,Chinese Fried Chicken,Bronx,4.3,3,Chinese,A
CHINESE GOURMET,Chinese Gourmet,Bronx,5.0,2,Chinese,A
CHINGOO RESTAURANT,Chingoo Restaurant,Brooklyn,4.7,126,Korean,A
CHINITO LATINO,Chinito Latino,Manhattan,3.3,82,Chinese; Asian Fusion,
CHIPOTLE MEXICAN GRILL,Chipotle Mexican Grill,Manhattan,0.0,0,Mexican,A
CHIRPING CHICKEN,Chirping Chicken,Bronx,3.3,57,Barbeque; Salad; Steakhouses,A
CHITO GVRITO,Chito Gvrito,Manhattan,4.5,174,Georgian,A
CHOICE MARKET BAR AND RESTAURANT,Choice Market Bar and Restaurant,Brooklyn,4.5,23,Breakfast & Brunch; Coffee Roasteries,B
CHOLA,Chola,Manhattan,4.0,723,Indian; Soup; Seafood,A
CHOPPED PARSLEY,Chopped Parsley,Manhattan,4.5,145,Japanese,A
CHOTE MIYA,Chote Miya,Manhattan,4.0,124,Indian,A
CHOTE NAWAB,Chote Nawab,Manhattan,3.8,622,Indian,A
CHOWTIME,ChowTime,Brooklyn,4.3,84,Vietnamese; Bubble Tea; Chinese,A
CHU ROS THAI,Chu Ros Thai,Manhattan,4.5,237,Thai; Asian Fusion; Desserts,B
CHUKO,Chuko,Brooklyn,4.0,1129,Asian Fusion; Ramen,A
CHUN BAI WEI,Chun Bai Wei,Brooklyn,5.0,7,Chinese; Noodles,A
CHUN HONG KONG CAFE,Chun Hong Kong Cafe,Brooklyn,3.5,52,Chinese; Coffee & Tea; Noodles,
CHUZO CULTURE,Chuzo Culture,Brooklyn,4.8,26,Chicken Wings; Latin American; Sports Bars,B
CI SIAMO,Ci Siamo,Manhattan,4.4,652,Italian; Bars; Pizza,A
CIBO E VINO,Cibo e Vino,Manhattan,4.0,459,Italian; Mediterranean; Wine Bars,A
CICCIO,Ciccio,Manhattan,4.3,331,Italian; Cocktail Bars; Diners,A
CICCIO CINCIN,Ciccio Cincin,Manhattan,4.8,5,Italian,
CINCO DE MAYO,Cinco de Mayo,Manhattan,4.5,22,Mexican; Juice Bars & Smoothies; Wraps,A
CIRCULO ESPANOL,Circulo Espanol,Queens,4.4,51,Spanish,B
CITRICO,Citrico,Queens,3.9,248,Mexican; Breakfast & Brunch; Vegan,A
CITY ISLAND LOBSTER HOUSE,City Island Lobster House,Bronx,3.7,838,Seafood,A
CITY ISLAND YACHT CLUB,City Island Yacht Club,Bronx,4.2,13,New American; Cocktail Bars; Buffets,A
CLARENDON CUISINE,Clarendon Cuisine,Brooklyn,1.0,1,Juice Bars & Smoothies; Seafood; Breakfast & Brunch,A
CLARO,Claro,Brooklyn,4.2,371,Mexican; New Mexican Cuisine; Cocktail Bars,A
CLASS ON 38TH,Class On 38th,Manhattan,4.5,52,Bars; Japanese; Seafood,
CLAUDETTE,Claudette,Manhattan,4.0,565,French; Seafood; Mediterranean,A
CLAW DADDY'S,Claw Daddy's,Manhattan,3.9,658,Cajun/Creole; Seafood,A
CLOVER HILL,Clover Hill,Brooklyn,4.5,56,New American,
CLOVES INDIAN CUISINE,Cloves Indian Cuisine,Manhattan,4.8,117,Indian,A
COCO HOTPOT,Coco Hotpot,Queens,4.4,88,Hot Pot; Chinese; Asian Fusion,B
COLETTA,Coletta,Manhattan,4.6,316,Vegan; Italian; Kosher,A
COLIMA TAQUERIA,Colima Taqueria,Bronx,3.9,30,Tacos; Cocktail Bars,A
COLONIA VERDE,Colonia Verde,Brooklyn,4.0,271,Latin American,B
COME ON THAI CUISINE,Come On Thai Cuisine,Brooklyn,4.0,109,Thai; Desserts; Salad,B
CONCETTINA,Concettina,Queens,4.4,134,Italian; Southern; Mediterranean,A
CONGEE VILLAGE,Congee Village,Manhattan,2.7,437,Cantonese; Desserts,B
CONMIGO,Conmigo,Manhattan,3.9,385,Cocktail Bars; Tacos,A
CONOHEN,Conohen,Brooklyn,5.0,2,Japanese; Breakfast & Brunch,
CONVIVIUM OSTERIA,Convivium Osteria,Brooklyn,3.9,570,Italian; Wine Bars; Venues & Event Spaces,A
COPINETTE,Copinette,Manhattan,4.1,276,French; American; Seafood,A
CORAL BAY CAFE,Coral Bay Cafe,Staten Island,3.7,84,Italian,A
CORDIAL,Cordial,Manhattan,5.0,4,Coffee & Tea; Tacos; Wine Bars,
CORIMA,Corima,Manhattan,4.3,38,Mexican,A
CORTHAIYOU,Corthaiyou,Brooklyn,3.7,258,Thai,C
COTE KOREAN STEAKHOUSE,COTE Korean Steakhouse,Manhattan,4.2,1962,Korean; Steakhouses; Cocktail Bars,A
COTE WINE BAR,Cote Wine Bar,Bronx,4.5,15,Wine Bars; Desserts; Tapas Bars,
COTENNA,Cotenna,Manhattan,3.9,503,Italian,A
COTRA,Cotra,Brooklyn,4.5,33,Izakaya; Sushi Bars,A
COUSIN LARRY'S,Cousin Larry's,Queens,4.5,11,Irish Pub; Breakfast & Brunch; Cocktail Bars,
COZY COTTAGE RESTAURANT,Cozy Cottage Restaurant,Bronx,3.6,108,Breakfast & Brunch; Greek,A
COZY RICE,Cozy Rice,Manhattan,4.5,47,Dim Sum; Cantonese,A
CRAB DU JOUR,Crab Du Jour,Brooklyn,3.7,33,Seafood; Cajun/Creole,A
CRAB SHACK SEAFOOD BOIL,Crab Shack Seafood Boil,Queens,4.1,40,Seafood; Southern,A
CRAFT HOUSE,Craft House,Staten Island,4.2,376,Bars; Barbeque,A
CRAVE,Crave,Queens,3.4,385,Greek; Burgers; Fish & Chips,A
CRAVE FISHBAR,Crave Fishbar,Manhattan,4.4,20,Seafood; Burgers; Cocktail Bars,
CRAZY MEAT,Crazy Meat,Queens,4.4,10,Salad; Burgers; Mexican,A
CREME CUISINE,Creme Cuisine,Brooklyn,5.0,1,Seafood,B
CREVETTE,Crevette,Manhattan,4.5,6,Seafood; French; Beer Bar,
CRISPY CLOUD,Crispy Cloud,Queens,4.3,10,Acai Bowls; Korean; Sandwiches,A
CRUZ DEL SUR,Cruz Del Sur,Brooklyn,4.6,102,Tacos; Cocktail Bars,A
CUCINA ALBA,Cucina Alba,Manhattan,4.1,123,Italian,A
CURRY HEIGHTS,Curry Heights,Brooklyn,3.4,313,Indian; Seafood; Chicken Shop,A
CURRY HOUSE,Curry House,Manhattan,4.3,127,Malaysian; Thai,A
CURRY IN HANDI,Curry In Handi,Brooklyn,4.7,55,Halal; Indian; Vegetarian,A
CURRY KING,Curry King,Manhattan,2.6,94,Indian; Halal; Pakistani,A
CURRY LEAF INDIAN CUISINE,curry leaf indian cuisine,Brooklyn,4.6,10,Indian,A
CURRY MEE,Curry Mee,Brooklyn,4.4,20,Malaysian; Salad; Soup,
CURRY ROTI BOX,Curry Roti Box,Queens,3.0,1,Caribbean; Indian,A
CUTS & SLICES,Cuts & Slices,Brooklyn,4.2,463,Pizza,A
Cantina Tarasca,Cantina Tarasca,Bronx,0.0,0,Mexican; Cocktail Bars,A
DA CAPO,Da Capo,Manhattan,4.4,245,Wine Bars; Cocktail Bars; Italian,A
DA CLAUDIO,Da Claudio,Manhattan,4.3,682,Italian; Cocktail Bars; Seafood,A
DA FRANCESCO,Da Francesco,Brooklyn,4.0,160,Italian,A
DA LONG YI HOT POT,Da Long Yi Hot Pot,Manhattan,4.7,239,Szechuan; Hot Pot,A
DA NONNA ROSA,Da Nonna Rosa,Brooklyn,4.0,476,Italian; Pizza; Venues & Event Spaces,A
DA RAFFAELE,Da Raffaele,Manhattan,4.6,251,Italian,A
DA TOSCANO,Da Toscano,Manhattan,4.6,208,Italian,A
DAGG THAI,Dagg Thai,Manhattan,4.8,37,Thai,
DAGON,Dagon,Manhattan,4.2,291,Bars; Mediterranean; Tapas/Small Plates,A
DAI HACHI SUSHI,Dai Hachi Sushi,Queens,4.5,281,Sushi Bars; Ramen,A
DALLAS BBQ,Dallas BBQ,Manhattan,3.6,23,Barbeque; Seafood; Sandwiches,A
DANCING CRANE CAFE,Dancing Crane Cafe,Manhattan,2.6,15,Fast Food,A
DANGOL,Dangol,Queens,4.2,58,Korean,A
DANJI,Danji,Manhattan,3.9,1108,Korean; Wine Bars; Cocktail Bars,A
DANNEE THAI,Dannee Thai,Brooklyn,4.1,197,Thai,A
DANNY'S ATHENS RESTAURANT,Danny's Athens Restaurant,Bronx,3.3,3,Greek; Mediterranean,A
DANTE,Dante,Manhattan,4.0,739,Cocktail Bars; Italian; Breakfast & Brunch,B
DANTE WEST VILLAGE,Dante West Village,Manhattan,4.1,332,Cocktail Bars; Italian; Breakfast & Brunch,A
DAORI BBQ,Daori BBQ,Queens,4.6,38,Korean,A
DAPHNE'S,Daphne's,Brooklyn,4.3,16,Italian,
DAR AL-YEMEN,Dar Al-Yemen,Queens,4.7,12,Middle Eastern,A
DAR525,Dar525,Brooklyn,4.9,17,Mediterranean,A
DARBAR GRILL,Darbar Grill,Manhattan,4.0,659,Indian; Wine Bars; Caterers,A
DARNA FALAFEL,Darna Falafel,Brooklyn,4.3,286,Falafel; Middle Eastern; Halal,A
DASHI OKUME,Dashi Okume,Brooklyn,4.4,55,Japanese,B
DAVID BURKE TAVERN,David Burke Tavern,Manhattan,3.8,302,Steakhouses; American; Seafood,
DD SOUP DUMPLING,DD Soup Dumpling,Manhattan,4.5,232,Chinese,C
DDEE THAI,Ddee Thai,Queens,4.3,70,Thai,A
DDUK DABANG,Dduk Dabang,Queens,4.2,20,Korean; Ramen,
DE MOLE,De Mole,Queens,4.3,320,Mexican; Breakfast & Brunch; Cocktail Bars,A
DE TANDOORI KNIGHT,De Tandoori Knight,Brooklyn,4.8,25,Halal; Indian; Vegetarian,
DEEP INDIAN KITCHEN,Deep Indian Kitchen,Manhattan,4.1,45,Indian; Pizza,A
DEL FRISCO'S DOUBLE EAGLE STEAKHOUSE,Del Frisco's Double Eagle Steakhouse,Manhattan,4.2,3633,Steakhouses; New American; Seafood,A
DEL FRISCO'S GRILLE,Del Frisco's Grille,Manhattan,3.6,941,Steakhouses; New American; Seafood,A
DELHI HEIGHTS,Delhi Heights,Queens,4.0,1,Food Delivery Services; Indian,A
DELICACY,Delicacy,Manhattan,3.4,78,Korean; Buffets; American,A
DENINO'S PIZZERIA & TAVERN,Denino's Pizzeria & Tavern,Manhattan,4.2,1052,Pizza; Italian; Chicken Wings,A
DERA RESTAURANT,Dera Restaurant,Queens,3.2,307,Indian; Pakistani; Bangladeshi,A
DESI GALLI,Desi Galli,Manhattan,3.6,164,Indian,A
DESI GRILL,Desi Grill,Brooklyn,4.0,361,Indian,C
DESI JUNCTION,Desi Junction,Queens,0.0,0,Indian,B
DEUX CHATS,Deux Chats,Brooklyn,4.0,24,Bars; Seafood,A
DH NOODLES,DH Noodles,Manhattan,4.5,26,Noodles; Chinese,
DHABA INDIAN CUISINE,Dhaba Indian Cuisine,Manhattan,3.7,1643,Indian; Buffets,A
DHAMAKA,Dhamaka,Manhattan,4.1,747,Indian,B
DI DI RESTAURANT,Di Di Restaurant,Brooklyn,4.0,48,Chinese; Tex-Mex,A
DIAMANTE POBLANO RESTAURANT,Diamante Poblano Restaurant,Bronx,3.8,16,Mexican,A
DILL & PARSLEY,Dill & Parsley,Manhattan,3.8,81,Mediterranean; Vegetarian; Gluten-Free,A
DIM SUM CHELSEA,Dim Sum Chelsea,Manhattan,4.4,212,Dim Sum; Szechuan,A
DIM SUM PALACE,Dim Sum Palace,Manhattan,4.0,510,Dim Sum; Seafood; Cantonese,A
DIM SUM SAM,Dim Sum Sam,Manhattan,4.0,181,Barbeque; Dim Sum; Coffee & Tea,A
DIMSUM GARDEN,Dimsum Garden,Manhattan,4.2,149,Dim Sum,A
DIN TAI FUNG,Din Tai Fung,Manhattan,4.2,1344,Taiwanese; Shanghainese; Dim Sum,A
DINER,Diner,Brooklyn,3.8,820,Diners; New American; Breakfast & Brunch,A
DINNER PARTY,Dinner Party,Brooklyn,4.5,45,New American; Breakfast & Brunch; Desserts,
DINO,Dino,Brooklyn,3.6,364,Italian,A
DITMARS THAI,Ditmars Thai,Queens,4.7,74,Thai; Salad; Noodles,A
DIVYA'S KITCHEN,Divya's Kitchen,Manhattan,4.5,518,Vegan; Vegetarian; Indian,A
DIWALI INDIAN CUISINE,Diwali Indian Cuisine,Brooklyn,4.9,20,Indian; Venues & Event Spaces,A
DIWINE,DiWine,Queens,4.1,817,New American,A
DO NOT DISTURB,Do Not Disturb,Manhattan,3.7,67,Speakeasies; Seafood,A
DOABA DELI,Doaba Deli,Manhattan,4.5,258,Indian; Pakistani; Bangladeshi,C
DOC WINE BAR,DOC Wine Bar,Brooklyn,4.0,282,Sardinian; Mediterranean; Cocktail Bars,A
DOCK ASIAN EATERY,Dock Asian Eatery,Brooklyn,4.2,247,Ramen; Thai; Asian Fusion,A
DOG DAY AFTERNOON,Dog Day Afternoon,Brooklyn,4.8,84,Hot Dogs,A
DOKDOYA,Dokdoya,Queens,4.3,171,Seafood; Korean; Sushi Bars,
DOKODEMO,DokoDemo,Manhattan,4.3,418,Ramen; Fast Food; Noodles,A
DOLCE FANTASIA,Dolce Fantasia,Staten Island,4.8,97,Italian; Breakfast & Brunch; Burgers,A
DOLCE VITA,Dolce Vita,Brooklyn,4.5,58,Bars; Italian,A
DON ANGIE,Don Angie,Manhattan,4.5,974,Italian; New American,A
DON CHEECH,Don Cheech,Staten Island,4.3,50,Italian,A
DON CHICKEN,Don Chicken,Queens,4.6,14,Korean; Chicken Shop; Chicken Wings,
DON DON,Don Don,Manhattan,4.3,89,Barbeque; Specialty Food; Korean,A
DON PATRON BAR & GRILL,Don Patron Bar & Grill,Brooklyn,4.2,71,Mexican,A
DON PEPPE,Don Peppe,Queens,4.1,769,Italian; Desserts; Seafood,A
DON POLLO,Don Pollo,Queens,4.2,10,Peruvian,A
DON UDON,Don Udon,Brooklyn,5.0,6,Noodles; Japanese,
DONBURIYA,Donburiya,Manhattan,3.8,477,Japanese; Seafood; Desserts,C
DOS CAMINOS,Dos Caminos,Manhattan,3.5,104,Tacos; Steakhouses; Tex-Mex,A
DOS TOROS,Dos Toros,Queens,3.3,49,Mexican,A
DOS TOROS TAQUERIA,Dos Toros Taqueria,Manhattan,3.7,103,Mexican,A
DOSA DELIGHT,Dosa Delight,Queens,4.1,593,Indian; Vegetarian; Vegan,B
DOSA HUTT,Dosa Hutt,Queens,4.3,258,Indian; Vegetarian,A
DOSA ROYALE,Dosa Royale,Brooklyn,3.6,301,Indian; Vegetarian; Vegan,C
DOUBLE DRAGON RESTAURANT,Double Dragon Restaurant,Brooklyn,3.1,26,Chinese,A
DOUGH BY LICASTRI,Dough By LiCastri,Staten Island,4.0,9,Pizza; Bars; Italian,A
DR. CLARK,Dr. Clark,Manhattan,3.1,136,Japanese,
DRIFT IN,Drift In,Manhattan,4.0,168,Seafood; Bars,A
DRIFTWOOD,Driftwood,Queens,4.8,53,Seafood; New American; Asian Fusion,
DUA KAFE,Dua Kafe,Manhattan,4.7,117,Cafes; Mediterranean; Modern European,A
DUCK WONG,Duck Wong,Brooklyn,4.0,275,Cantonese; Noodles; Asian Fusion,A
