name,name,borough,rating,review_count,categories_list,GRADE
AMO SEAFOOD,Amo Seafood,Manhattan,4.8,8,Mediterranean; Seafood; Italian,
AMOR LOCO,Amor Loco,Manhattan,3.9,152,Mexican,A
AMPERSAND,Ampersand,Manhattan,4.3,274,Cocktail Bars; New American,A
AMUNI,Amuni,Brooklyn,4.8,84,Sicilian,A
AMY THAI BISTRO,Amy Thai Bistro,Brooklyn,4.4,366,Thai,A
AMYLOS TAVERNA,Amylos Taverna,Queens,4.2,480,Seafood; Greek; Breakfast & Brunch,A
AN BEAL BOCHT CAFE,An Beal Bocht Cafe,Bronx,4.2,170,Irish; Pubs,A
AN'NAM,An'nam,Manhattan,3.9,399,Japanese; Vietnamese; Sushi Bars,A
ANANDA,Ananda,Manhattan,4.1,427,Indian; Vegetarian; Kosher,B
ANAR,Anar,Manhattan,4.2,140,Indian,A
ANASSA TAVERNA,Anassa Taverna,Manhattan,4.1,59,Greek; Mediterranean,A
ANASSA TAVERNA ASTORIA,Anassa Taverna Astoria,Queens,4.5,263,Mediterranean; Greek; Breakfast & Brunch,A
ANDIAMO PIZZA,Andiamo Pizza,Manhattan,4.5,295,Pizza; Italian; Caterers,A
ANDREA'S CHICKEN,Andrea's Chicken,Queens,3.6,65,Peruvian; Latin American; Chicken Shop,A
ANEJO TRIBECA,Anejo Tribeca,Manhattan,4.1,735,Mexican; Tapas/Small Plates; Tapas Bars,A
ANGAAR,Angaar,Manhattan,4.2,227,Indian,A
ANGEL INDIAN RESTAURANT,Angel Indian Restaurant,Queens,4.5,568,Indian; Vegetarian,B
ANGELINA'S KITCHEN,Angelina's Kitchen,Staten Island,3.4,300,Italian,A
ANGELINA'S RISTORANTE,Angelina's Ristorante,Staten Island,3.2,304,Italian,A
ANISE,Anise,Bronx,3.0,69,Chinese; Desserts; Seafood,C
ANIXI,Anixi,Manhattan,4.6,299,Vegan; Mediterranean; Bars,
ANN & TONY'S RESTAURANT,Ann & Tony's Restaurant,Bronx,3.1,143,Italian,A
