id,name,rating,review_count,categories_list,BOROUGH,SCORE,GRADE
RI-tVET-wKFeRNKm4cg0wQ,sylvia's restaurant,3.6,2333,Southern; Soul Food; Seafood,Manhattan,13.0,A
By2Zl1imtu0SpA4IBziN1g,la masa,3.9,553,Colombian; Empanadas,Bronx,13.0,A
sri-S6YRQ32XsvdO-EB3IA,nana's kitchen,4.6,37,Mediterranean,Bronx,13.0,A
u4bpvrR8_YL1MQgEThd8mA,tortoise & hare,4.4,99,Bars; American; Barbeque,Bronx,13.0,A
NIGCt0rwTWBqIgvZUK_RLA,fiorentina steakhouse,4.6,69,Steakhouses,Bronx,13.0,A
QAMCE2DqumRQqa51hqmpkQ,hudson smokehouse,3.9,152,Barbeque; Steakhouses,Bronx,13.0,A
nXV1FSzW8FnHwNgbTzRlVg,tasty choice,4.1,35,Mediterranean; Middle Eastern,Bronx,13.0,A
CdqIBnH7CYmBJd13Op855A,the uptown garrison,4.0,237,Coffee & Tea; Pizza; Bars,Manhattan,13.0,A
wCPH0z8lI6NmRVSXagvuCg,parisienne cafe,4.7,24,Cafes,Bronx,13.0,A
Vpldj9c3EDzCl0Z5ANfkhg,avenue gyro,4.3,27,Mediterranean,Bronx,13.0,A
ZOdgdTWXoVpy_2557dURjQ,milly's corner restaurant and bar,4.8,4,Dominican; Latin American,Bronx,13.0,A
bch7dg47hZarDo-ODp-cuw,cozy cottage restaurant,3.6,108,Breakfast & Brunch; Greek,Bronx,13.0,A
Mn3YQmT44rShLz1jZdZ5Tg,don cheech,4.3,50,Italian,Staten Island,13.0,A
vDHFwrXakFAnVxi4pGMecg,coral bay cafe,3.7,84,Italian,Staten Island,13.0,A
10Z123uCZrmZtfSO2y05cw,trattoria toscana,4.3,86,Italian; Pizza; Cocktail Bars,Staten Island,13.0,A
t2PfNlD-FjIaWskHDIizwQ,panini grill,3.4,328,Pizza; Italian; Desserts,Staten Island,13.0,A
aJQuAEQ1PnWCTjHu9gNSeg,angelina's ristorante,3.2,304,Italian,Staten Island,13.0,A
Tw7bIH7iyI1mK1o070w1Vw,la strada restaurant,4.0,122,Italian,Staten Island,13.0,A
CGRjJJShtsx0XXcFrFY76A,eat italian,3.8,163,Italian,Staten Island,13.0,A
Wa2sWI3Z_DK1rEiyhmJqgA,luce,3.9,57,Italian; Wine Bars,Staten Island,13.0,A
CxHEpWA7LKB_NiLto0vHwA,artie's,4.4,936,Pizza; Italian; Sandwiches,Bronx,13.0,A
GXq2Qsm--A7QQt9rTXldig,denino's pizzeria & tavern,4.2,1052,Pizza; Italian; Chicken Wings,Manhattan,13.0,A
LlT5XLc88hFDcWiCKskasg,pizzeria giove,4.2,433,Italian,Staten Island,13.0,A
XjMjGq_2nO1e8pwIq-nEwg,cantina mexicana,4.2,169,Mexican,Staten Island,13.0,A
VowfUbVepyT39PO1NyjRRA,la candela espanola,3.1,133,Spanish; Mexican; Seafood,Staten Island,13.0,A
Csc3gvGpS2FhHKgGNKgQZQ,los pastorcitos g's,0.0,0,Breakfast & Brunch; Burgers; Mexican,Staten Island,13.0,A
43ytEn7XfwO4JaxO_1q8iQ,taquito,3.9,17,Tacos,Manhattan,13.0,A
sHUp0nIsZ0HbdnyqQVCYRg,siu kitchen,4.7,25,Chinese; Hot Pot,Staten Island,13.0,A
x1X5brwEmNGeAc2LZhzrCw,moon & flower house,3.3,17,Burgers; Chinese,Queens,13.0,A
rHq8HOaRsct8_ON5Ob3eQw,fish noodle house,3.6,47,Chinese,Staten Island,13.0,A
7uAxbCgcY33A0NeUb2frlQ,new york vybes,3.9,77,Dim Sum; Cantonese; Venues & Event Spaces,Manhattan,13.0,A
vHBQjpyUBlkZXh6xTpIANg,hitto ramen,4.0,47,Ramen,Staten Island,13.0,A
fJm_Zp3121JyPQClxDrgQQ,teriyaki one japanese grill,3.8,27,Japanese,Queens,13.0,A
qn9dgCRGNjHKDGilBamkiw,noodlefan,4.0,194,Thai; Noodles,Staten Island,13.0,A
b3XJAx3ru9FxB5gIxPZogg,3 guys sushi,3.7,88,Japanese; Thai; Sushi Bars,Staten Island,13.0,A
l3aVYfTWVINXaNGxlMz0bQ,soho thai,3.6,228,Thai,Manhattan,13.0,A
yA29ur97O7B6kYr1g5IoAw,aroy dee thai kitchen,3.6,594,Thai,Manhattan,13.0,A
sljnE3uoRUmM7aW5f1I3Ug,once more thai,3.7,296,Thai; Chicken Shop; Noodles,Manhattan,13.0,A
3KlWyCJ2BikxwcEb0-O4Ww,thai cafe,3.3,142,Thai,Brooklyn,13.0,A
KLLRrrPHsA5oQKYwreTI9w,randiwa,4.3,60,Sri Lankan; Indian,Staten Island,13.0,A
_4ztTCCumLK79ZJkNqL3ZQ,blue,3.9,534,Mediterranean; Seafood; Desserts,Staten Island,13.0,A
YqXl2aa7XCaP3VgXkU9x-g,the kova,4.5,200,Breakfast & Brunch; Coffee & Tea,Staten Island,13.0,A
SPBqObfHsbCted14GnImtg,bite burger,4.4,7,Burgers; Chicken Wings; Fast Food,Staten Island,13.0,A
9RUSWWgOVxOlVD7QmPTyAw,the point tavern,4.5,19,American; Pubs; Sports Bars,Staten Island,13.0,A
MfX5bTnCxEgmCo_RQsBMAg,cafe juliet,4.4,48,Cafes,Staten Island,13.0,A
Nk2BdPhLB8WriGnFoaNG3Q,richmond republic,3.4,294,American; Gastropubs,Staten Island,13.0,A
