Id,Label,Type
Seoul Bap,Seoul Bap,restaurant
Panda Harlem,Panda Harlem,restaurant
Class On 38th,Class On 38th,restaurant
The Tusk Bar,The Tusk Bar,restaurant
Udon Lab,Udon Lab,restaurant
Port Sa'id,Port Sa'id,restaurant
Layla,Layla,restaurant
Lighthouse,Lighthouse,restaurant
Tsukimi,Tsukimi,restaurant
Amo Seafood,Amo Seafood,restaurant
Kin Gin,Kin Gin,restaurant
Hainan Jones,Hainan Jones,restaurant
Tokuyamatcha & Onigirazu Bar,Tokuyamatcha & Onigirazu Bar,restaurant
Goku Kitchen,Goku Kitchen,restaurant
Atlas Kitchen,Atlas Kitchen,restaurant
Mark's Off Madison,Mark's Off Madison,restaurant
Balaboosta,Balaboosta,restaurant
American Brass,American Brass,restaurant
Kaizen,Kaizen,restaurant
Chi Restaurant & Bar,Chi Restaurant & Bar,restaurant
Luogong Grilled Skewer,Luogong Grilled Skewer,restaurant
Lucia Pizza,Lucia Pizza,restaurant
Kura Revolving Sushi Bar,Kura Revolving Sushi Bar,restaurant
Bungalow,Bungalow,restaurant
Bakers Cafe,Bakers Cafe,restaurant
Ravagh Persian Grill,Ravagh Persian Grill,restaurant
Nudibranch,Nudibranch,restaurant
Sushi Yasaka,Sushi Yasaka,restaurant
Sartiano's,Sartiano's,restaurant
Madre,Madre,restaurant
Taiyaki Nyc,Taiyaki Nyc,restaurant
Sabor Azteca,Sabor Azteca,restaurant
The Residence Of Mr. Moto,The Residence Of Mr. Moto,restaurant
Grandma's Home,Grandma's Home,restaurant
Silky Kitchen,Silky Kitchen,restaurant
Coco Hotpot,Coco Hotpot,restaurant
Crave Fishbar,Crave Fishbar,restaurant
Sereneco,Sereneco,restaurant
Zen Astoria,Zen Astoria,restaurant
Sae Ron,Sae Ron,restaurant
Ikigai,Ikigai,restaurant
Bangkok 2 Thai,Bangkok 2 Thai,restaurant
Jiang Nan,Jiang Nan,restaurant
Izakaya Sushi & Lounge,Izakaya Sushi & Lounge,restaurant
Chipotle Mexican Grill,Chipotle Mexican Grill,restaurant
Toribro Ramen,Toribro Ramen,restaurant
Jing Li,Jing Li,restaurant
Chalong,Chalong,restaurant
Baodega,Baodega,restaurant
Blue Ribbon Sushi,Blue Ribbon Sushi,restaurant
Arirang Hibachi Steakhouse,Arirang Hibachi Steakhouse,restaurant
Don Chicken,Don Chicken,restaurant
Gai Kitchen,Gai Kitchen,restaurant
Turntable Chicken Jazz,Turntable Chicken Jazz,restaurant
Chao Niu Hotpot,Chao Niu Hotpot,restaurant
Dduk Dabang,Dduk Dabang,restaurant
Bangkok Supper Club,Bangkok Supper Club,restaurant
Er Hotpot,Er Hotpot,restaurant
Malecon Restaurant,Malecon Restaurant,restaurant
Han Dynasty,Han Dynasty,restaurant
Suram,Suram,restaurant
Randazzo's Clam Bar,Randazzo's Clam Bar,restaurant
Laghman Express,Laghman Express,restaurant
Pattanian Thai,Pattanian Thai,restaurant
Pokeworks,Pokeworks,restaurant
The Monster Crab,The Monster Crab,restaurant
Momo Crave,Momo Crave,restaurant
5ive Spice,5ive Spice,restaurant
Mayahuel,Mayahuel,restaurant
Lure Fishbar,Lure Fishbar,restaurant
Junsui,Junsui,restaurant
Aliada,Aliada,restaurant
When In Bangkok,When In Bangkok,restaurant
Kin Ramen,Kin Ramen,restaurant
Roberta's,Roberta's,restaurant
The Corner Store,The Corner Store,restaurant
All'antico Vinaio,All'antico Vinaio,restaurant
Carbone,Carbone,restaurant
Limani,Limani,restaurant
Bird Dog,Bird Dog,restaurant
Huuma,Huuma,restaurant
Zen Fusion Cuisine,Zen Fusion Cuisine,restaurant
Torien,Torien,restaurant
Tong,Tong,restaurant
Sapps,Sapps,restaurant
Wu's Wonton King,Wu's Wonton King,restaurant
Wooga,Wooga,restaurant
Pelicana Chicken,Pelicana Chicken,restaurant
Forever Thai,Forever Thai,restaurant
Chick It Out,Chick It Out,restaurant
Palermo Restaurant & Bar,Palermo Restaurant & Bar,restaurant
Sotto La Luna,Sotto La Luna,restaurant
Ji Bei Chuan Authentic Asian Noodles,Ji Bei Chuan Authentic Asian Noodles,restaurant
Brooklyn Diner,Brooklyn Diner,restaurant
Ros Niyom Thai Restaurant,Ros Niyom Thai Restaurant,restaurant
Yoon Haeundae Galbi,Yoon Haeundae Galbi,restaurant
Little Maven,Little Maven,restaurant
Shoo Loong Kan,Shoo Loong Kan,restaurant
Guac Time,Guac Time,restaurant
Citrico,Citrico,restaurant
Sea,Sea,restaurant
Arthur & Sons Ny Italian,Arthur & Sons Ny Italian,restaurant
Cafe Joah,Cafe Joah,restaurant
Mareluna,Mareluna,restaurant
R40,R40,restaurant
Sopo,Sopo,restaurant
Dai Hachi Sushi,Dai Hachi Sushi,restaurant
Ai Ki Ya,Ai Ki Ya,restaurant
What The Fish,What The Fish,restaurant
Panda Express,Panda Express,restaurant
Kochi,Kochi,restaurant
The Uptown Garrison,The Uptown Garrison,restaurant
Bahari Estiatorio,Bahari Estiatorio,restaurant
Susuru Ramen,Susuru Ramen,restaurant
Greek From Greece,Greek From Greece,restaurant
Taqueria El Torito,Taqueria El Torito,restaurant
Star Of Siam Thai Kitchen,Star Of Siam Thai Kitchen,restaurant
Do Not Disturb,Do Not Disturb,restaurant
The Nuaa Table,The Nuaa Table,restaurant
Jackson Hole,Jackson Hole,restaurant
Jua,Jua,restaurant
Oxomoco,Oxomoco,restaurant
Acadia,Acadia,restaurant
Sea Salt,Sea Salt,restaurant
Marseille,Marseille,restaurant
Kyma,Kyma,restaurant
Obentoyasan,Obentoyasan,restaurant
Tha Phraya,Tha Phraya,restaurant
Lingo,Lingo,restaurant
Nom Wah,Nom Wah,restaurant
Ruta Oaxaca Mexican Cuisine,Ruta Oaxaca Mexican Cuisine,restaurant
Porta 23,Porta 23,restaurant
The Clam,The Clam,restaurant
Sozai,Sozai,restaurant
Raising Cane's Chicken Fingers,Raising Cane's Chicken Fingers,restaurant
Fandi Mata,Fandi Mata,restaurant
Piccola Cucina,Piccola Cucina,restaurant
Ocean Prime,Ocean Prime,restaurant
Albert's Bar,Albert's Bar,restaurant
Flor De Mayo,Flor De Mayo,restaurant
Wonderland,Wonderland,restaurant
Maison Sun,Maison Sun,restaurant
Trapizzino,Trapizzino,restaurant
Torrisi,Torrisi,restaurant
Zutto Japanese American Pub,Zutto Japanese American Pub,restaurant
Ny Beer Garden,Ny Beer Garden,restaurant
King Souvlaki,King Souvlaki,restaurant
Pink Taco,Pink Taco,restaurant
Dante,Dante,restaurant
Bangia,Bangia,restaurant
Bora Bora Smoothie Cafe,Bora Bora Smoothie Cafe,restaurant
Earl's Beer & Cheese,Earl's Beer & Cheese,restaurant
Nami Nori,Nami Nori,restaurant
Wayla,Wayla,restaurant
Gyro World,Gyro World,restaurant
Olle,Olle,restaurant
Baby's Buns & Buckets,Baby's Buns & Buckets,restaurant
Hi-collar,Hi-collar,restaurant
Bar San Miguel,Bar San Miguel,restaurant
Cacio E Pepe,Cacio E Pepe,restaurant
Joe's Steam Rice Roll,Joe's Steam Rice Roll,restaurant
Ten Seconds Yunnan Rice Noodle,Ten Seconds Yunnan Rice Noodle,restaurant
Handroll Bar Rolling,Handroll Bar Rolling,restaurant
Kanyakumari,Kanyakumari,restaurant
Somtum Der,Somtum Der,restaurant
Upon The Palace,Upon The Palace,restaurant
Glasserie,Glasserie,restaurant
Atti,Atti,restaurant
Amy Thai Bistro,Amy Thai Bistro,restaurant
Syko,Syko,restaurant
Truth Restaurant And Lounge,Truth Restaurant And Lounge,restaurant
Water & Wheat,Water & Wheat,restaurant
Fish Cheeks,Fish Cheeks,restaurant
